"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "Properties", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/.env", "Properties", 0, 0, 0, -7, 0, -3, -10
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/package-lock.json", "JSON", 0, 0, 136, 0, 0, 0, 136
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/package.json", "JSON", 0, 0, 5, 0, 0, 0, 5
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/server/routes/user.router.js", "JavaScript", 1, 0, 0, 0, 0, -1, 0
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/App/App.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 2, 10
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/ChatPage/ChatMessage.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 1, 7
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/ChatPage/ChatPage.jsx", "JavaScript JSX", 0, 58, 0, 0, -3, 5, 60
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/LandingPage/LandingPage.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, -1, 4
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/LandingPage/LandingPageHeader.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 1, 9
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/LogOutButton/LogOutButton.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 2
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/RegisterForm/RegisterForm.jsx", "JavaScript JSX", 0, 10, 0, 0, 2, 4, 16
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/profilePage/EditProfilePage.jsx", "JavaScript JSX", 0, 8, 0, 0, 25, 3, 36
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/config/firebase.js", "JavaScript", 0, 0, 0, 0, 0, -1, -1
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/profile.reducer.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/login.saga.js", "JavaScript", -1, 0, 0, 0, 0, 0, -1
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/registration.saga.js", "JavaScript", 3, 0, 0, 0, 2, 2, 7
"Total", "-", 4, 105, 141, -7, 26, 12, 281
